代码,指数名称,rule_id,factor,category,strategy_label,open_condition,close_condition,annual_return,benchmark_annual_return,excess_annual_return,max_drawdown,excess_max_drawdown,sharpe,holding_ratio,open_event_count,trade_count,win_rate,mean_trade_return,mean_holding_days,final_equity,benchmark_final_equity,excess_final_equity
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,0.14697140901208838,0.025316035861464137,0.11865158536061515,-0.20434744089970047,-0.15762545597645927,1.0595138755594375,0.5452292441140025,59,39,0.5897435897435898,0.03911266950586484,32.717948717948715,3.731590176415203,1.271360946583112,2.9351146788362197
000985.CSI,中证全指,chip_profit_center,筹码盈利中枢_年线,赔率/筹码,筹码盈利中枢_年线候选_季线等待修复_月线短确认,开仓_累计上升_5日_0.5sigma；季线弱化时等待40日修复并要求月线一日回升,闭仓_上方拐点_1sigma(持仓满10日后生效) OR 4%/5日止损,0.12484293979976346,0.025316035861464137,0.0970694892669628,-0.19818831444446328,-0.2023471034667157,0.9616203020177814,0.44320528707145807,42,19,0.7368421052631579,0.06478727638289382,51.8421052631579,3.0948835272001194,1.271360946583112,2.4343075312466342
000985.CSI,中证全指,chip_deviation,筹码乖离率_季线,赔率/筹码,筹码乖离率_季线累计修复且价格同日上涨,开仓_累计上升_5日_0.5sigma + 信号日收涨,闭仓_下穿_1.5sigma,0.11232688723241813,0.025316035861464137,0.08486247003622438,-0.2214000877181258,-0.20910073249498884,0.8684667468301469,0.49566294919454773,58,25,0.64,0.043138170766430235,47.72,2.7795734004965973,1.271360946583112,2.1862976112070545
000985.CSI,中证全指,forward_valuation,远期估值,赔率/估值,远期估值_价格底背离60日,开仓_价格新低因子未确认_60日,闭仓_原始季线年线空头共振,0.12770613778360063,0.025316035861464137,0.09986199214772729,-0.2150983196455477,-0.2927934191042174,0.8983631081215409,0.5373812474184222,67,30,0.6666666666666666,0.04287639125332041,42.56666666666667,3.171368918822546,1.271360946583112,2.4944677806455067
000985.CSI,中证全指,historical_valuation,历史估值,赔率/估值,历史估值_价格底背离60日_闭仓持仓满3日,开仓_价格新低因子未确认_60日,闭仓_原始季线年线空头共振(持仓满3日后生效),0.09434174577458543,0.025316035861464137,0.06732139896273659,-0.20979361915498929,-0.3404872613656077,0.6922795342334805,0.5076414704667492,68,24,0.6666666666666666,0.03989504282780178,50.208333333333336,2.3768007393764283,1.271360946583112,1.8694932747181496
000985.CSI,中证全指,price_diffusion,年价格扩散系数_季线,胜率/量,价格扩散系数_最优规则,开仓_价格下跌因子上升_20日,闭仓_高位钝化转弱_5日_1sigma,0.1132874316251502,0.025316035861464137,0.0857992976670583,-0.2974703451986196,-0.14697335602506834,0.7594783342780129,0.6567534076827757,80,21,0.7142857142857143,0.0542303586453995,71.71428571428571,2.802709585504737,1.271360946583112,2.204495578566615
000985.CSI,中证全指,pb_skew,pb偏度_季线,赔率/估值,pb偏度_上穿负0.5后10日内上穿MA10,开仓_上穿_-0.5sigma后10日内价格上穿MA10,闭仓_20日振幅放大向下_1sigma,0.12345087466129656,0.025316035861464137,0.09571179555129072,-0.1709018907302482,-0.17500987256237688,0.9662885139055806,0.41924824452705495,28,16,0.8125,0.07958677804262501,60.75,3.058297441887273,1.271360946583112,2.405530427929772
000985.CSI,中证全指,sentiment_entropy,情绪熵,胜率/量,情绪熵_扩散起点收涨确认_扩散终点退出,开仓_加速度转正_10日后5日内收涨确认,闭仓_加速度转负_5日,0.1423564672296347,0.025316035861464137,0.11415059091496005,-0.1694849288747391,-0.2224843181514925,1.0693287751763023,0.4812061131763734,169,74,0.6351351351351351,0.017949103500882756,15.5,3.589874668226202,1.271360946583112,2.8236471144361386
000985.CSI,中证全指,turnover_diffusion,季换手扩散系数_季线,胜率/量,换手扩散系数_季线加速度转正后3日收涨确认,开仓_加速度转正_5日后3日内收涨确认,闭仓_10日振幅放大向下_1sigma,0.16690405663604602,0.025316035861464137,0.13809207680597768,-0.19903845127934805,-0.1343104416437777,1.1193674732019239,0.6133828996282528,133,37,0.7297297297297297,0.04365214016358887,40.13513513513514,4.403015825781193,1.271360946583112,3.4632303576845453
000985.CSI,中证全指,volume_factor,放量因子,胜率/量,放量因子_上穿1sigma且放量下跌等待修复,开仓_上穿_1sigma；若信号日跌幅<=-1%则3日内等收复信号日收盘价,闭仓_加速度转负_3日,0.1226228188339964,0.025316035861464137,0.09490418521619604,-0.1651544888852633,-0.19656337791534628,0.8853892035383157,0.5386204047914085,83,45,0.6666666666666666,0.027713531793165675,28.977777777777778,3.036718829389371,1.271360946583112,2.3885575827626333
000985.CSI,中证全指,fund_flow,资金流因子,胜率/资金,资金流因子_低位修复后收涨确认_资金流转弱退出,开仓_低位均值回复_20日后5日内收涨确认,闭仓_累计下降_5日_0.5sigma,0.1320713328554497,0.025316035861464137,0.10411940636848649,-0.17087217652437958,-0.22816780693260996,0.9023982690530564,0.5894258570838496,202,101,0.5841584158415841,0.012767006096275426,14.07920792079208,3.2912391529776337,1.271360946583112,2.5887527549301494
000985.CSI,中证全指,institutional_net_buy,机构主动净买入,胜率/资金,机构主动净买入_季线低位修复_月线强势退潮退出,机构主动净买入_季线<=-0.5 + 季线5日斜率刚转正 + 信号日不大跌,闭仓_下穿_1.5sigma,0.13499486905999114,0.025316035861464137,0.10697075766144182,-0.16839220263738341,-0.3727609096813165,1.0474069713091438,0.4403139198678232,40,20,0.75,0.06674900222248206,53.3,3.3737741538335047,1.271360946583112,2.6536713770395437
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,0.12918092336555165,0.025316035861464137,0.10130036385983243,-0.14131081457017158,-0.20923894500765028,1.1109551008203125,0.34242048740190006,60,43,0.6511627906976745,0.02867731809996136,19.11627906976744,3.211422271964768,1.271360946583112,2.525972093602318
000985.CSI,中证全指,small_cap_turnover,小市值换手因子_季线,胜率/量,小市值换手因子_季线低位修复与价因子退潮,开仓_低位均值回复_60日,闭仓_价因子同步下降_20日 OR 5日价因子同步转弱,0.1281584946343819,0.025316035861464137,0.10030317987420334,-0.1529567650930601,-0.2872054290697682,1.1161445481301053,0.35150764147046676,213,64,0.640625,0.019801471514836834,13.296875,3.1836065203294597,1.271360946583112,2.5040933724491587
000985.CSI,中证全指,up_down_volume_diff,上涨下跌量差_季线,胜率/量,上涨下跌量差_季线快版阳量优势修复且价格确认,开仓_上穿_0sigma且3日价格动量为正,闭仓_下穿_1sigma,0.09997398633930321,0.025316035861464137,0.07281457410847159,-0.1676961833163183,-0.2773469232175181,0.8880534835151841,0.36266005782734406,41,27,0.7407407407407407,0.036617206979939226,32.333333333333336,2.496908064027325,1.271360946583112,1.963964734592464
